name,asian,black_african,his_lat,white,total
5014,0,1,0,0,1
5018,0,1,0,0,1
5023,1,1,0,0,2
5026,0,2,0,0,2
5027,0,1,0,0,1
5031,0,0,0,1,1
5035,0,1,0,0,1
5037,0,1,0,0,1
5039,0,6,1,0,7
5040,0,1,0,0,1
5043,0,1,0,0,1
5045,0,1,0,0,1
5048,0,0,1,0,1
5244,0,2,1,0,3
5247,0,4,0,0,4
Grand Total,1,23,3,1,28
