name,american_native,black_african,his_lat,no_info,white,total
5013,0,1,0,0,0,1
5015,0,1,0,0,0,1
5018,0,1,0,0,0,1
5023,1,1,0,1,0,3
5025,0,0,0,1,0,1
5026,0,0,0,1,0,1
5039,0,4,0,0,0,4
5040,0,2,0,0,0,2
5048,0,2,0,1,0,3
5245.02,0,0,0,0,1,1
5247,0,1,1,0,0,2
Grand Total,1,13,1,4,1,20
